id_estudiante,codigo_universitario,nombres,apellidos,edad,sexo,carrera,facultad,ciclo,fecha_nacimiento,estado_matricula,promedio_general,asistencia,cursos_aprobados,cursos_desaprobados,creditos_aprobados,ciclo_academico,riesgo_academico,nivel_estres_num,nivel_ansiedad_num,bienestar_general,horas_sueno,actividad_fisica,estado_emocional,horas_ejercicio,frecuencia_semanal
22,202600022,Porfirio,Macias,30,Femenino,Administración,Ciencias Empresariales,10,2005-12-21,Retirado,19.45,65.92,5,0,20,2026-I,Bajo,3,1,2.23,10,1,Ansioso,0.6,2
23,202600023,Lucho,Prado,26,Masculino,Administración,Ciencias Empresariales,4,1997-10-02,Matriculado,13.54,99.05,8,3,32,2026-I,Medio,3,7,1.1,9,3,Estresado,2.4,7
24,202600024,Valentina,Asensio,30,Masculino,Psicología,Ciencias de la Salud,8,2007-08-08,Matriculado,12.67,67.98,4,3,16,2026-I,Alto,8,6,2.22,10,2,Motivado,0.1,2
25,202600025,Nieves,Requena,22,Femenino,Enfermería,Ciencias de la Salud,9,1997-06-18,Reserva,13.28,97.57,4,2,16,2026-I,Medio,2,5,1.71,6,1,Feliz,1.8,3
26,202600026,Carmina,Tamarit,23,Masculino,Arquitectura,Arquitectura,5,2007-05-03,Matriculado,14.36,88.35,8,0,32,2026-I,Medio,1,9,4.7,8,2,Ansioso,1.3,6
27,202600027,Coral,Naranjo,25,Femenino,Arquitectura,Arquitectura,7,2004-11-22,Reserva,16.23,76.1,4,2,16,2026-I,Bajo,5,9,1.51,7,4,Motivado,1.8,3
28,202600028,Cirino,Burgos,21,Masculino,Enfermería,Ciencias de la Salud,7,2005-03-15,Retirado,15.48,84.27,4,2,16,2026-I,Medio,6,8,2.77,9,2,Tranquilo,1.4,7
29,202600029,Salomón,Rocamora,18,Masculino,Contabilidad,Ciencias Empresariales,5,2006-03-17,Matriculado,16.59,92.26,6,2,24,2026-I,Bajo,3,1,1.18,7,5,Feliz,1.4,6
30,202600030,Jose Luis,Hierro,23,Masculino,Psicología,Ciencias de la Salud,3,2000-09-15,Retirado,17.18,87.5,7,3,28,2026-I,Bajo,2,7,1.88,10,5,Estresado,0.2,2
31,202600031,Eligia,Gárate,29,Femenino,Administración,Ciencias Empresariales,10,1998-11-08,Retirado,14.56,95.68,7,2,28,2026-I,Medio,7,9,2.78,5,4,Estresado,0.8,2
32,202600032,Santos,Jaume,27,Masculino,Derecho,Derecho,5,2005-11-07,Reserva,17.66,63.1,8,3,32,2026-I,Bajo,5,4,2.09,6,5,Feliz,0.4,2
33,202600033,Belen,Villar,23,Femenino,Enfermería,Ciencias de la Salud,6,2000-10-14,Retirado,16.94,78.64,5,0,20,2026-I,Bajo,1,4,4.33,7,5,Feliz,2.6,7
34,202600034,Guiomar,Saez,29,Femenino,Enfermería,Ciencias de la Salud,7,2006-06-16,Retirado,14.77,89.9,6,2,24,2026-I,Medio,9,10,4.59,7,2,Ansioso,1.3,1
35,202600035,Anselmo,Codina,30,Femenino,Enfermería,Ciencias de la Salud,3,2005-09-24,Retirado,13.36,81.36,7,1,28,2026-I,Medio,7,10,3.26,4,1,Estresado,0.4,4
36,202600036,Humberto,Ricart,20,Femenino,Contabilidad,Ciencias Empresariales,6,2006-04-18,Reserva,10.5,90.45,7,2,28,2026-I,Alto,7,5,4.01,10,4,Ansioso,2.5,4
37,202600037,Poncio,Prat,20,Masculino,Ingeniería de Sistemas,Ingeniería,1,1998-07-13,Matriculado,17.49,97.98,4,2,16,2026-I,Bajo,4,1,3.49,5,2,Estresado,2.0,5
38,202600038,Merche,Cazorla,19,Masculino,Psicología,Ciencias de la Salud,3,1999-05-18,Reserva,14.65,64.32,6,2,24,2026-I,Medio,1,5,3.3,7,4,Motivado,0.2,6
39,202600039,Teresa,Escalona,29,Masculino,Psicología,Ciencias de la Salud,6,2009-04-27,Retirado,11.02,77.14,6,0,24,2026-I,Alto,6,2,3.02,6,1,Estresado,2.5,1
40,202600040,Baltasar,Moll,23,Masculino,Enfermería,Ciencias de la Salud,9,2005-05-14,Retirado,19.61,70.8,7,1,28,2026-I,Bajo,9,8,2.86,10,5,Ansioso,1.0,2
41,202600041,Carolina,Galindo,29,Femenino,Administración,Ciencias Empresariales,10,1996-05-12,Retirado,12.79,86.73,7,1,28,2026-I,Alto,6,1,2.98,6,2,Estresado,0.6,7
42,202600042,Leocadia,Prat,25,Masculino,Derecho,Derecho,9,2001-04-13,Matriculado,13.4,63.42,8,2,32,2026-I,Medio,7,8,3.22,5,4,Estresado,1.3,1
43,202600043,Sebastian,Falcó,21,Femenino,Administración,Ciencias Empresariales,8,2004-04-17,Retirado,12.94,81.24,7,1,28,2026-I,Alto,7,9,2.32,9,4,Ansioso,0.9,2
44,202600044,Marisa,Pazos,28,Masculino,Administración,Ciencias Empresariales,4,2009-02-06,Matriculado,17.21,89.54,6,0,24,2026-I,Bajo,5,10,4.91,8,5,Ansioso,2.9,7
45,202600045,Pepe,Escobar,21,Masculino,Psicología,Ciencias de la Salud,9,1999-06-07,Matriculado,12.96,70.97,6,1,24,2026-I,Alto,1,9,2.17,5,4,Feliz,2.6,5
46,202600046,Magdalena,Ariza,19,Masculino,Derecho,Derecho,5,1999-03-18,Reserva,14.69,64.56,7,2,28,2026-I,Medio,2,7,2.97,8,1,Motivado,0.4,5
47,202600047,Dolores,Valenciano,25,Femenino,Derecho,Derecho,10,1996-07-18,Retirado,10.85,91.63,5,0,20,2026-I,Alto,4,9,2.52,7,3,Tranquilo,3.0,3
48,202600048,Octavia,Zamora,27,Masculino,Ingeniería de Sistemas,Ingeniería,5,2003-03-22,Retirado,16.1,63.25,4,1,16,2026-I,Bajo,4,3,3.21,5,1,Estresado,1.4,5
49,202600049,Pánfilo,Gelabert,28,Femenino,Marketing,Ciencias Empresariales,8,2002-09-30,Matriculado,12.91,87.5,5,2,20,2026-I,Alto,5,10,3.64,5,4,Feliz,1.6,6
50,202600050,Chucho,Torrents,17,Masculino,Contabilidad,Ciencias Empresariales,5,2008-10-16,Retirado,19.08,89.96,5,0,20,2026-I,Bajo,10,5,2.76,7,3,Estresado,2.8,5
51,202600051,Áurea,Samper,23,Femenino,Marketing,Ciencias Empresariales,10,2005-08-17,Reserva,14.38,61.03,8,0,32,2026-I,Medio,4,10,3.35,4,3,Tranquilo,0.1,7
52,202600052,Paulino,Ramírez,19,Femenino,Contabilidad,Ciencias Empresariales,8,1999-10-28,Matriculado,14.71,78.8,7,2,28,2026-I,Medio,7,6,2.28,4,2,Ansioso,1.2,4
53,202600053,Fanny,Ripoll,24,Masculino,Derecho,Derecho,6,2007-03-24,Reserva,16.63,72.93,7,0,28,2026-I,Bajo,7,9,4.3,4,5,Estresado,1.2,2
54,202600054,Íngrid,Serra,29,Masculino,Arquitectura,Arquitectura,4,1999-08-07,Reserva,16.23,81.97,7,3,28,2026-I,Bajo,5,8,4.52,7,1,Feliz,2.9,5
55,202600055,Alma,Rozas,25,Femenino,Psicología,Ciencias de la Salud,2,1999-12-05,Matriculado,17.1,99.69,6,0,24,2026-I,Bajo,2,8,4.79,9,2,Estresado,2.8,3
56,202600056,Dimas,Benet,20,Femenino,Derecho,Derecho,9,1998-10-06,Matriculado,14.15,75.34,7,3,28,2026-I,Medio,10,9,3.99,5,1,Ansioso,2.3,7
57,202600057,Micaela,Zurita,30,Masculino,Enfermería,Ciencias de la Salud,5,1997-02-19,Retirado,13.4,71.94,8,2,32,2026-I,Medio,10,10,5.0,7,2,Estresado,1.6,3
58,202600058,Cipriano,Quirós,24,Femenino,Arquitectura,Arquitectura,4,2005-06-12,Retirado,15.52,69.55,8,3,32,2026-I,Medio,7,4,4.42,7,1,Ansioso,2.2,6
59,202600059,Pascual,Ugarte,17,Masculino,Enfermería,Ciencias de la Salud,9,2002-12-16,Retirado,13.86,73.28,5,3,20,2026-I,Medio,2,8,1.4,7,1,Motivado,1.2,6
60,202600060,Ramona,Cerezo,26,Femenino,Contabilidad,Ciencias Empresariales,2,2000-12-08,Reserva,10.75,94.09,6,2,24,2026-I,Alto,9,7,4.82,9,4,Tranquilo,0.1,1
61,202600061,Arturo,Cabañas,28,Masculino,Psicología,Ciencias de la Salud,7,1997-06-30,Matriculado,16.31,90.41,6,1,24,2026-I,Bajo,2,8,1.67,6,1,Feliz,1.0,1
62,202600062,Ámbar,Villaverde,20,Femenino,Derecho,Derecho,10,1996-09-10,Retirado,13.58,91.7,7,1,28,2026-I,Medio,3,3,1.32,10,4,Tranquilo,2.0,4
63,202600063,Javi,Ángel,21,Masculino,Contabilidad,Ciencias Empresariales,8,2005-03-16,Reserva,12.32,87.1,6,3,24,2026-I,Alto,3,2,2.77,6,5,Ansioso,1.9,4
64,202600064,Salvador,Ruano,23,Femenino,Derecho,Derecho,2,2007-08-02,Matriculado,14.57,75.25,6,1,24,2026-I,Medio,6,10,2.18,9,3,Feliz,2.9,6
65,202600065,Valentina,Casares,26,Femenino,Enfermería,Ciencias de la Salud,5,2002-06-01,Matriculado,12.74,84.28,8,0,32,2026-I,Alto,6,4,3.55,8,3,Motivado,1.9,6
66,202600066,Concha,Villalobos,26,Femenino,Ingeniería de Sistemas,Ingeniería,3,2007-12-02,Matriculado,13.09,96.39,7,0,28,2026-I,Medio,6,7,1.7,5,5,Ansioso,1.6,3
67,202600067,Ciriaco,Villar,28,Femenino,Contabilidad,Ciencias Empresariales,2,1999-01-17,Reserva,12.57,98.52,7,2,28,2026-I,Alto,3,4,4.44,9,4,Tranquilo,1.1,7
68,202600068,Gracia,Reguera,24,Femenino,Enfermería,Ciencias de la Salud,5,1999-07-26,Retirado,10.14,75.24,8,0,32,2026-I,Alto,6,2,3.7,7,1,Tranquilo,2.7,5
69,202600069,Encarnación,Palomo,27,Femenino,Arquitectura,Arquitectura,5,2003-08-21,Retirado,19.15,76.33,5,0,20,2026-I,Bajo,3,1,4.79,6,4,Feliz,0.3,5
70,202600070,Luís,Bas,26,Masculino,Contabilidad,Ciencias Empresariales,7,1996-04-05,Retirado,13.89,63.96,6,3,24,2026-I,Medio,8,10,2.63,6,1,Ansioso,0.7,4
71,202600071,Cándida,Cañellas,25,Femenino,Psicología,Ciencias de la Salud,1,2009-04-14,Reserva,18.55,71.04,4,2,16,2026-I,Bajo,2,8,1.37,5,5,Feliz,0.2,3
72,202600072,Galo,Frías,18,Masculino,Psicología,Ciencias de la Salud,10,2008-12-30,Matriculado,19.89,92.52,8,1,32,2026-I,Bajo,4,6,4.1,10,5,Feliz,0.8,2
73,202600073,Teodoro,Villanueva,27,Masculino,Contabilidad,Ciencias Empresariales,3,1997-07-09,Matriculado,15.4,74.33,5,0,20,2026-I,Medio,4,10,2.3,5,3,Feliz,0.4,4
74,202600074,Soledad,Santana,29,Femenino,Administración,Ciencias Empresariales,9,1997-06-30,Retirado,17.46,64.36,7,3,28,2026-I,Bajo,9,4,4.78,4,5,Ansioso,1.4,1
75,202600075,Dominga,Novoa,27,Masculino,Ingeniería de Sistemas,Ingeniería,8,2002-01-19,Retirado,19.99,96.39,7,3,28,2026-I,Bajo,2,2,2.29,5,1,Motivado,0.8,6
76,202600076,Nereida,Espinosa,24,Femenino,Arquitectura,Arquitectura,2,2008-09-02,Retirado,13.81,64.58,8,2,32,2026-I,Medio,9,4,2.72,5,4,Ansioso,2.5,4
77,202600077,Carlota,Estévez,22,Femenino,Enfermería,Ciencias de la Salud,6,1996-05-17,Matriculado,17.3,87.47,6,3,24,2026-I,Bajo,8,2,1.36,4,1,Estresado,0.3,6
78,202600078,Atilio,Calatayud,26,Femenino,Arquitectura,Arquitectura,2,2000-02-18,Reserva,18.12,74.14,8,0,32,2026-I,Bajo,7,1,4.87,8,3,Ansioso,0.3,5
79,202600079,Macario,Gabaldón,30,Masculino,Psicología,Ciencias de la Salud,6,2002-06-29,Retirado,11.55,74.7,7,1,28,2026-I,Alto,5,10,1.9,7,5,Tranquilo,1.8,6
80,202600080,Tecla,León,19,Femenino,Ingeniería de Sistemas,Ingeniería,5,2001-10-11,Reserva,16.09,74.04,6,0,24,2026-I,Bajo,3,3,3.27,7,1,Motivado,2.2,1
81,202600081,Pedro,Codina,23,Femenino,Administración,Ciencias Empresariales,6,2008-10-23,Matriculado,17.46,74.8,5,3,20,2026-I,Bajo,6,10,3.38,4,2,Motivado,2.3,1
82,202600082,Herberto,Polo,26,Femenino,Administración,Ciencias Empresariales,7,1995-07-16,Reserva,12.72,68.62,7,3,28,2026-I,Alto,9,2,2.38,4,3,Tranquilo,1.5,6
83,202600083,Ruy,Guerrero,17,Masculino,Derecho,Derecho,5,1997-09-23,Matriculado,10.45,90.69,7,0,28,2026-I,Alto,5,5,2.31,4,4,Estresado,0.5,4
84,202600084,Tiburcio,Luque,23,Masculino,Psicología,Ciencias de la Salud,7,2002-02-27,Matriculado,15.0,78.39,6,0,24,2026-I,Medio,2,6,3.3,8,4,Estresado,0.9,4
85,202600085,Violeta,Posada,30,Femenino,Ingeniería de Sistemas,Ingeniería,2,1999-08-31,Reserva,19.66,93.78,5,3,20,2026-I,Bajo,4,7,3.36,8,1,Estresado,2.6,6
86,202600086,Luciano,Clemente,25,Masculino,Arquitectura,Arquitectura,9,2004-07-02,Retirado,12.22,67.76,5,0,20,2026-I,Alto,6,6,3.91,10,2,Motivado,0.3,3
87,202600087,Cipriano,Lluch,19,Femenino,Psicología,Ciencias de la Salud,8,2003-05-29,Retirado,11.73,90.4,5,0,20,2026-I,Alto,8,10,3.57,8,3,Ansioso,0.5,1
88,202600088,Violeta,Ibarra,26,Masculino,Marketing,Ciencias Empresariales,6,2005-07-09,Retirado,14.42,62.97,6,2,24,2026-I,Medio,8,8,1.15,6,3,Feliz,1.9,7
89,202600089,Pilar,Cañas,24,Masculino,Administración,Ciencias Empresariales,8,2003-07-27,Retirado,16.15,86.07,8,3,32,2026-I,Bajo,6,10,2.9,5,1,Estresado,0.3,7
90,202600090,Nazaret,Román,17,Masculino,Arquitectura,Arquitectura,8,2004-11-17,Reserva,19.82,80.96,4,1,16,2026-I,Bajo,10,3,2.46,6,4,Estresado,2.3,6
91,202600091,Pancho,Fernández,22,Masculino,Ingeniería de Sistemas,Ingeniería,9,2003-10-18,Retirado,17.89,75.46,6,0,24,2026-I,Bajo,5,10,4.49,6,1,Tranquilo,2.0,3
92,202600092,Isidora,Real,26,Masculino,Derecho,Derecho,5,2003-08-01,Retirado,19.68,75.07,7,1,28,2026-I,Bajo,6,3,3.68,10,5,Feliz,1.9,4
93,202600093,Fausto,Camps,20,Femenino,Arquitectura,Arquitectura,8,2004-12-13,Matriculado,10.18,69.06,6,1,24,2026-I,Alto,3,3,1.31,10,1,Tranquilo,2.3,7
94,202600094,Guadalupe,Marí,26,Femenino,Ingeniería de Sistemas,Ingeniería,3,1998-05-26,Matriculado,16.62,67.23,8,1,32,2026-I,Bajo,10,3,3.88,4,4,Ansioso,2.0,2
95,202600095,Águeda,Somoza,25,Masculino,Marketing,Ciencias Empresariales,5,2003-03-08,Reserva,16.11,96.16,7,1,28,2026-I,Bajo,4,6,3.71,8,4,Estresado,2.3,7
96,202600096,Samanta,Campillo,30,Masculino,Enfermería,Ciencias de la Salud,10,2000-06-26,Matriculado,15.03,94.92,7,1,28,2026-I,Medio,1,8,4.5,8,1,Tranquilo,2.6,3
97,202600097,René,Seguí,25,Masculino,Administración,Ciencias Empresariales,7,2008-11-09,Matriculado,17.63,97.86,6,3,24,2026-I,Bajo,4,8,4.54,4,4,Feliz,1.2,3
98,202600098,Cruz,Baró,20,Masculino,Psicología,Ciencias de la Salud,6,1997-12-18,Matriculado,13.86,93.57,4,2,16,2026-I,Medio,6,3,1.55,6,4,Motivado,2.3,4
99,202600099,Pedro,Bernat,21,Masculino,Marketing,Ciencias Empresariales,3,2005-11-03,Retirado,16.15,97.61,4,0,16,2026-I,Bajo,10,9,2.69,10,3,Motivado,0.9,1
100,202600100,Leopoldo,Oller,18,Masculino,Psicología,Ciencias de la Salud,8,1999-06-28,Retirado,14.2,81.44,8,3,32,2026-I,Medio,9,10,1.97,5,3,Estresado,0.0,3
101,202600101,Jerónimo,Pedro,25,Femenino,Psicología,Ciencias de la Salud,2,2002-09-24,Retirado,15.71,81.76,5,0,20,2026-I,Medio,9,9,1.08,10,4,Feliz,1.9,3
102,202600102,Flora,Vazquez,22,Masculino,Derecho,Derecho,2,2000-08-01,Retirado,17.47,89.41,6,0,24,2026-I,Bajo,6,3,1.18,8,3,Motivado,2.5,6
103,202600103,Carmen,Carbajo,29,Masculino,Marketing,Ciencias Empresariales,2,1998-04-30,Retirado,19.81,91.05,7,1,28,2026-I,Bajo,8,1,2.17,4,2,Feliz,0.9,3
104,202600104,Damián,Fuentes,21,Masculino,Enfermería,Ciencias de la Salud,4,1996-03-20,Reserva,19.89,74.28,8,3,32,2026-I,Bajo,1,6,2.09,10,3,Estresado,2.7,6
105,202600105,Cruz,Gual,19,Femenino,Marketing,Ciencias Empresariales,8,1996-10-30,Reserva,18.95,96.97,7,2,28,2026-I,Bajo,9,5,4.2,9,4,Feliz,1.3,7
106,202600106,Mónica,Conde,18,Femenino,Contabilidad,Ciencias Empresariales,5,2008-09-04,Reserva,15.45,77.84,6,0,24,2026-I,Medio,7,3,3.76,6,4,Feliz,2.2,3
107,202600107,Cosme,Sola,27,Femenino,Enfermería,Ciencias de la Salud,6,2007-08-20,Retirado,12.75,92.04,4,0,16,2026-I,Alto,3,1,1.57,8,4,Feliz,0.4,2
108,202600108,Lino,Verdejo,26,Masculino,Arquitectura,Arquitectura,8,2004-03-27,Reserva,13.62,74.88,8,0,32,2026-I,Medio,2,10,1.55,6,4,Ansioso,1.9,2
109,202600109,Carmina,Rodriguez,25,Femenino,Administración,Ciencias Empresariales,9,2008-12-04,Matriculado,10.26,70.47,5,3,20,2026-I,Alto,5,8,1.86,8,3,Estresado,0.6,2
110,202600110,Florencia,Fuster,29,Femenino,Administración,Ciencias Empresariales,6,2005-01-19,Retirado,14.52,62.6,7,0,28,2026-I,Medio,9,5,4.57,10,2,Motivado,2.4,5
111,202600111,Horacio,Guzman,20,Femenino,Psicología,Ciencias de la Salud,1,2008-08-24,Reserva,11.21,82.16,5,1,20,2026-I,Alto,6,8,4.21,8,2,Tranquilo,2.7,1
112,202600112,Maximiliano,Aguado,29,Femenino,Derecho,Derecho,10,1995-09-29,Matriculado,13.98,65.01,7,3,28,2026-I,Medio,6,2,2.8,9,5,Ansioso,0.4,7
113,202600113,Quirino,Bauzà,25,Masculino,Contabilidad,Ciencias Empresariales,2,1998-11-11,Retirado,17.68,66.12,5,3,20,2026-I,Bajo,3,3,2.29,9,2,Ansioso,2.8,5
114,202600114,Marta,Iñiguez,27,Femenino,Derecho,Derecho,3,2007-08-31,Retirado,18.46,72.11,6,1,24,2026-I,Bajo,9,2,3.01,5,5,Tranquilo,0.5,6
115,202600115,Alexandra,Abascal,30,Masculino,Arquitectura,Arquitectura,2,1996-04-24,Matriculado,18.43,97.94,8,0,32,2026-I,Bajo,10,5,3.6,10,5,Estresado,1.9,1
116,202600116,Jennifer,Almansa,27,Femenino,Marketing,Ciencias Empresariales,8,2003-08-18,Matriculado,18.89,92.19,8,2,32,2026-I,Bajo,7,5,2.81,9,1,Motivado,1.3,4
117,202600117,Bernarda,Ferreras,22,Femenino,Marketing,Ciencias Empresariales,6,1998-05-24,Reserva,12.04,65.23,8,1,32,2026-I,Alto,6,9,3.25,6,2,Estresado,0.4,4
118,202600118,Samanta,Alemán,23,Femenino,Psicología,Ciencias de la Salud,4,2001-07-24,Matriculado,11.41,92.54,4,2,16,2026-I,Alto,10,6,1.76,5,4,Tranquilo,1.4,3
119,202600119,Tristán,Carrillo,20,Masculino,Marketing,Ciencias Empresariales,10,2008-04-26,Reserva,10.23,61.95,7,3,28,2026-I,Alto,5,8,3.39,10,4,Ansioso,1.6,7
120,202600120,Fidel,Román,29,Femenino,Administración,Ciencias Empresariales,6,2006-10-29,Matriculado,14.31,76.02,6,2,24,2026-I,Medio,10,9,1.78,8,3,Feliz,1.2,4
121,202600121,Xiomara,Teruel,19,Masculino,Derecho,Derecho,7,2003-01-21,Reserva,18.25,91.8,8,0,32,2026-I,Bajo,6,9,4.76,10,2,Motivado,1.8,4
122,202600122,Trinidad,Barranco,29,Femenino,Ingeniería de Sistemas,Ingeniería,9,2007-09-06,Reserva,10.45,65.96,5,2,20,2026-I,Alto,9,3,2.31,8,3,Motivado,1.2,5
123,202600123,Íñigo,León,28,Femenino,Derecho,Derecho,8,2004-08-03,Matriculado,15.94,74.73,8,3,32,2026-I,Medio,2,7,3.33,10,1,Tranquilo,1.4,6
124,202600124,Santos,Cisneros,19,Femenino,Psicología,Ciencias de la Salud,3,2008-11-27,Retirado,17.21,69.69,8,3,32,2026-I,Bajo,10,2,1.76,7,3,Estresado,0.5,6
125,202600125,Edmundo,Morera,30,Masculino,Psicología,Ciencias de la Salud,3,2001-05-16,Retirado,14.1,68.29,8,3,32,2026-I,Medio,6,8,3.1,6,2,Estresado,2.7,3
126,202600126,Macaria,Marquez,20,Masculino,Arquitectura,Arquitectura,5,1998-10-10,Retirado,16.76,71.94,6,3,24,2026-I,Bajo,5,5,3.82,9,4,Ansioso,1.4,5
127,202600127,Palmira,Cárdenas,23,Femenino,Derecho,Derecho,3,1997-12-15,Reserva,12.88,61.68,8,3,32,2026-I,Alto,2,6,4.7,9,3,Estresado,0.6,7
128,202600128,José Ángel,Roldan,18,Masculino,Derecho,Derecho,4,2000-10-06,Matriculado,19.33,86.79,6,1,24,2026-I,Bajo,9,4,3.55,4,1,Estresado,1.0,4
129,202600129,Isa,Torres,25,Masculino,Administración,Ciencias Empresariales,7,1998-08-26,Retirado,16.81,97.4,5,0,20,2026-I,Bajo,8,8,3.6,10,3,Ansioso,0.9,1
130,202600130,Elodia,Galán,19,Femenino,Administración,Ciencias Empresariales,3,1997-11-12,Matriculado,16.52,99.89,5,0,20,2026-I,Bajo,7,8,1.75,9,3,Feliz,0.0,5
131,202600131,Pastora,Milla,24,Femenino,Administración,Ciencias Empresariales,3,2002-03-07,Retirado,19.28,78.72,6,2,24,2026-I,Bajo,4,2,2.32,9,4,Ansioso,2.2,1
132,202600132,Donato,Piñol,19,Femenino,Arquitectura,Arquitectura,7,2003-05-08,Retirado,17.91,73.12,8,1,32,2026-I,Bajo,7,2,1.74,5,4,Ansioso,2.8,1
133,202600133,Ester,Merino,22,Femenino,Derecho,Derecho,10,1998-01-24,Retirado,13.84,82.92,7,2,28,2026-I,Medio,5,6,3.77,4,1,Estresado,0.9,4
134,202600134,Dionisia,Pardo,26,Masculino,Derecho,Derecho,4,1999-08-31,Matriculado,16.9,79.13,6,2,24,2026-I,Bajo,8,10,2.49,9,5,Estresado,2.3,7
135,202600135,Reynaldo,Múñiz,25,Femenino,Psicología,Ciencias de la Salud,9,1995-11-25,Retirado,17.62,74.47,8,0,32,2026-I,Bajo,10,2,1.25,8,5,Motivado,1.7,2
136,202600136,Hector,Plaza,18,Masculino,Contabilidad,Ciencias Empresariales,10,1999-04-18,Reserva,13.28,63.64,8,3,32,2026-I,Medio,9,8,4.23,7,2,Tranquilo,1.2,5
